sample_id,molecule_id,cx,cy,cz,R11,R12,R13,R21,R22,R23,R31,R32,R33,Fx,Fy,Fz,Mx,My,Mz
0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.47117556926016113,-0.21338841621620774,0.8767982876418758,-0.0009000231628493727,1.4616995664437844,0.012932910100232675
0,1,-3.9950399646143233,-0.387331410175975,3.633535886002132,0.8568959291832814,-0.08605833535053779,-0.5082551814451233,-0.25079976403322146,0.7918045740824949,-0.556906630255844,0.4503652350148724,0.6046813039765105,0.6569107060409851,0.4711755692601609,0.21338841621620774,-0.8767982876418763,0.4366429739493922,0.32911129407663753,0.6570612429872661
1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1886214078309206,0.21878843735044223,-0.7992892363116806,0.14566220635050617,0.36658973598649514,0.0007494715746406838
1,1,1.7722184825237535,-0.16825955233717824,-5.515700194201591,0.8422639129322278,-0.5250861945754933,-0.12196716459080217,0.20905725766814823,0.5267207021077398,-0.8239298301356756,0.49687680967053205,0.668468241756747,0.5534109194570316,-0.1886214078309205,-0.21878843735044218,0.7992892363116799,1.1955972691221184,0.009546285683774636,0.4187287945031422
2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.054135475680635446,-0.19825392362504612,0.7506586389324827,0.18136178287101112,0.0640072340764703,-0.00025550709420654044
2,1,-0.13452970912897838,0.3481051864546056,5.243944828547054,0.8936845053450103,0.42610005165750003,-0.1405942775639179,0.4367652338489216,-0.7543372428603381,0.4901137159218869,0.10278197997285837,-0.4994137262944812,-0.8602451944541858,-0.05413547568063537,0.198253923625046,-0.750658638932483,1.1195790201310638,0.3208621020106741,0.008081709917545914
3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19645024987314857,0.10992964052677967,1.3812895561589167,0.38607440842332597,0.4477897497638882,-0.0051338369530552486
3,1,-0.9578436414926973,1.2120912000579582,4.925786084904494,0.6626077070946983,-0.25088103491297054,0.70569804648993,0.44020164514859694,0.8927586434423619,-0.0959401697279213,-0.6059484615932077,0.3742201369247124,0.701987002025589,-0.1964502498731484,-0.10992964052677959,-1.3812895561589165,0.7466846137034963,1.8429415758643661,-0.33827718935752893
4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.09367019808168109,0.04281291990389881,-0.4980795696352094,0.28122831076408605,-0.1141055975801639,9.248657384978987e-05
4,1,-0.24249651392117427,-0.980719082502818,-5.4273208027087465,-0.342667541627401,-0.8878056412116917,-0.307213442654664,0.9394553906593475,-0.32438040765725407,-0.11045777514148361,-0.0015889858798066314,-0.32646361904630483,0.9452084323381076,-0.09367019808168117,-0.042812919903898614,0.49807956963520933,0.43960727860108756,-0.5150551763542898,0.08138968031919193
5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.019458233969999142,0.26770267099260797,-0.8560410008949362,0.10362629853859032,-0.21556604576190347,0.0011218205299095563
5,1,-0.5769666352031365,-0.054236851384693086,-5.0622302908973476,-0.7808811905538029,-0.624301347783442,0.02173461283421746,0.5106067967827841,-0.6579418129724757,-0.5535280208098926,0.35986839999991693,-0.42114177885632526,0.8325468976479522,0.0194582339699991,-0.2677026709926081,0.8560410008949361,1.297975240059059,-0.1798389887100755,-0.15663268319144646
6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.20226717992004745,0.15105255026704442,-0.524276598607897,-0.38060769618248813,-0.07860451064846477,-3.332812191321477e-05
6,1,-0.765486304040363,1.7542047389560858,-5.269812718025586,-0.6424564094783594,0.44218790270970987,0.6258750838764576,-0.756555160562579,-0.49597007345289734,-0.42619006941182735,0.12195921837362322,-0.7473175663239263,0.653178692332641,0.2022671799200475,-0.1510525502670444,0.5242765986078978,0.25693785286820653,0.7431881120670881,0.23922271525315275
7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.039970695313060196,0.054481463210239556,1.1069774429501547,-0.6377240057639003,0.5874965391493713,0.00047641706599482747
7,1,-1.4722171032494153,-1.5193659387714504,4.734585970640252,-0.30043382288276943,0.949727233547562,-0.08807780609290376,0.9146224622058418,0.2606665347283046,-0.30906101226337357,-0.2705647236735942,-0.17341032129268408,-0.9469549042972427,0.039970695313060356,-0.05448146321023973,-1.1069774429501544,-1.302126987418035,0.8529698920071992,-0.1414150720218388
8,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3600646374182396,0.3446818114742445,0.9983254619194992,1.0444846420220366,0.6523274143794487,0.02244871014693156
8,1,-2.431286318674323,3.4926844010105373,3.8523347257341283,-0.8808586530198022,-0.40121843560551806,-0.251220620830379,0.4479017675407224,-0.8781569026573584,-0.16800137186681546,-0.15320587467207958,-0.2605076222406863,0.9532385528924368,0.3600646374182394,-0.3446818114742444,-0.9983254619194991,1.1145214142846602,0.3877981165345008,0.3971232597860558
9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.25223252881133024,0.20245304316679094,1.0645600026245534,0.0061134310005563075,0.03343138584019583,-0.00036006667887552093
9,1,-0.38771518047436293,0.21799796159984647,5.596971201666352,0.6284482549415003,-0.2726590262448748,-0.7284983502165119,0.7774414554125387,0.1897709857544001,0.5996430241167128,-0.0252502330091533,-0.9432094297519504,0.33123767503106216,0.25223252881133035,-0.20245304316679089,-1.0645600026245539,-0.9071653727219207,-1.032423512177323,-0.023147874360075926
10,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.023375550809421677,-0.014798290261771603,-1.1852779209214228,-0.3074673137629426,0.33190335419232714,0.00034001609197883975
10,1,1.0696745880590781,1.057633569731034,-5.451065548709789,0.5872684257968057,-0.5751200299681016,-0.5695197513621731,-0.7882798007787784,-0.24674073483132108,-0.5636789560193544,0.18365933612618537,0.7799717692996263,-0.5982585455714773,-0.023375550809421632,0.014798290261771659,1.1852779209214221,-1.0267888550903121,0.8085366579054624,-0.04089213837871579
11,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.12775949874838752,-0.18182480971389264,0.47667760823274175,-0.613156503553267,0.401570369441463,0.006510297602408777
11,1,-1.7300193746216241,-2.588550006822043,4.745308488095988,0.8831947268301251,0.028307150024192984,0.4681514495940053,-0.3233464543523245,-0.686282673676311,0.6515083746733229,0.3397265738167104,-0.7267838723232668,-0.5969682219126553,0.1277594987483877,0.18182480971389253,-0.47667760823274213,0.24206749039226044,-0.1831671055961346,-0.02266170536720441
12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.4000488896268367,-0.11434792537858035,1.026590025138682,0.2624119681451421,1.0427912130823673,-0.028579479847694544
12,1,-3.516799439052619,0.6484687912560939,4.3274415130831825,0.1434620174441259,-0.983674886495417,-0.10863870042066023,0.7807837535972599,0.1799519103405891,-0.5983260315942687,0.6081080328933622,0.0010137272814802478,0.7938536342976357,0.4000488896268366,0.11434792537858032,-1.026590025138682,0.8981335837903079,0.8363318392283581,0.6901374195755741
13,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1083945680187296,0.3249654661058666,-0.9415760008895366,-1.3906332462148756,0.6997257522912705,0.011373120245768698
13,1,1.5163721420242346,3.141434206441712,-3.8733732752004477,0.8803754500793078,-0.45905873172949124,-0.11918115505635561,0.3423524043926233,0.7890062321423265,-0.5101607558869644,0.328228423669014,0.4083310500849528,0.8517815773026991,-0.10839456801872964,-0.3249654661058666,0.9415760008895367,-0.30855325916658427,0.30820124211556366,0.1408810559105785
14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.07479696159794262,0.06696127524240944,-0.7596769229843348,0.20415377893251277,-0.30506161932104076,0.00015428740764242277
14,1,-1.1285396273695798,-0.6711306396277456,-5.621231995748932,0.7919974339125887,0.35850765001632895,0.49417843898296904,0.1555064947495826,-0.9011937253955362,0.40455852407088466,0.59038783419594,-0.24356135610454288,-0.7694933859663402,-0.07479696159794272,-0.06696127524240954,0.7596769229843345,0.6820935431691849,-0.9727149659841288,-0.025524207338464
15,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3323850054044733,0.10524911434650862,1.0707836796695411,-0.04650031260474786,0.973917418839185,-0.01237347133478886
