sample_id,molecule_id,cx,cy,cz,R11,R12,R13,R21,R22,R23,R31,R32,R33,Fx,Fy,Fz,Mx,My,Mz
0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3387203583176221,0.769011771809384,-0.05113962847312675,-1.2190209135245391,-0.23931440858286834,0.045344667231006386
0,1,3.125123298562134,7.178829757723426,-1.219940307183868,-0.44337241795893856,-0.6616801907991696,0.60464884362514,-0.8332554447546319,0.5528556271812486,-0.006001606517382685,-0.33031237152127013,-0.50648788790849,-0.7964695578752473,-0.7470081156691989,-0.13454775086199666,0.3459962900264802,0.13437336053293042,0.9760423491266799,0.07010761975696456
0,2,-5.524655420620663,5.006679878298605,3.0687669261120405,0.08631475574278107,-0.9955311405097749,0.038308109015861985,-0.1312222328154028,0.02675617817602441,0.9909918428243261,-0.9875882181131999,-0.0905640944564674,-0.12832636611108317,-0.5757017750348924,-1.7721165342561824,1.523282143792374,-1.652470449137408,0.6731472820374285,-2.605585728973042
0,3,-2.8489745218133935,8.06790499227304,-1.0071423558765398,-0.2517082273978134,0.5420474750731819,-0.8017652418426727,-0.8963789954575788,0.18177617564204326,0.4043044873253519,0.36489404594034286,0.8204522879093835,0.440125412242403,1.6934573394459327,0.6812764069032564,-1.5343216411151042,2.2643224226435548,0.16463827949713983,1.4915721470025198
0,4,-1.7320883527497872,1.8494247956126322,4.867359167752976,-0.6537058434094424,0.17789642159929608,0.7355416599177208,-0.6533498888364938,-0.6231165478045594,-0.4299531260608186,0.3818410573127144,-0.7616289326399663,0.5235635357012693,-0.032027090424220084,0.4563761064055383,-0.28381716423062253,-0.4728474976811181,-1.3291724964080633,-0.2814481020606766
1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.051630644977428364,-0.3399682277654789,0.8111823172621118,-0.3392006524941264,-0.050292972957526265,0.0010390751969168999
1,1,-1.1438207729467393,-2.178007704828952,6.0196884808425875,-0.244020371883747,-0.2000101169885181,-0.9489204451417188,-0.7561920150308314,-0.5733690514702765,0.3153118570870536,-0.6071471769755081,0.7945085801414074,-0.011332324225691914,0.5858677379246131,1.053807354997056,-0.20420151437064488,0.5656847213278969,0.03104125109258866,-0.3058937858820178
1,2,0.5784510649923067,-7.067354758411876,3.787168565811289,0.14500068622519768,-0.9466187982014468,-0.28790215679266873,-0.5173863588224421,0.17548321877153714,-0.8375661141868362,0.843377825591044,0.27040430991615005,-0.46432246605144345,0.4208069182451679,-0.24969206101449043,-0.34088100179763275,-0.7344037898803001,-1.6411036411157225,2.34512838825875
1,3,6.461599441684454,-4.814303030587258,3.7589882724612673,-0.27318906975307855,-0.2785000688517529,-0.9207635113410049,-0.9582669788381118,0.16258389692602115,0.2351401150991197,0.08421478157619333,0.9465749775426763,-0.3112935631428256,-0.6704610917193723,-0.016120545019604915,-0.11780285526079015,-0.029750201270309695,-0.5215087157270475,-0.3121912661594778
1,4,4.620481165437639,2.328788656968574,6.818196127978244,-0.9552861815259824,0.236411624154985,-0.17758900683857093,0.03548890509385519,0.6879380411419147,0.7249012271786172,0.2935453099621031,0.6861856858855536,-0.6655676941416443,-0.2845829194729809,-0.44802652119748276,-0.148296945833044,-0.255359477639999,0.11204245950908708,0.11103474571391085
2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.032441991282271154,-0.19295093459483997,-0.9224552948454469,0.06506663298751914,0.31269880110437676,1.4874420034228888
2,1,0.0076613384498347425,-1.296062475092317,-4.663280729638505,-0.17359926862903205,-0.8350878411450915,0.5220072715040434,0.969132313114337,-0.05063946761701386,0.24128448768439553,-0.1750595716009869,0.5477809250887584,0.8181015856846777,0.3629307047726792,0.14264170103355434,1.0089534758732601,0.09561921318115207,1.1393331154031563,-0.3818562197993211
