sample_id,molecule_id,cx,cy,cz,R11,R12,R13,R21,R22,R23,R31,R32,R33,Fx,Fy,Fz,Mx,My,Mz
0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11896750772802525,-0.13295886151687836,0.0025322341000497614,0.07732109659312246,0.05823533845866788,0.013588344222239358
0,1,5.327925471434565,-6.136605497298825,0.6796182022662552,0.7816886736332881,-0.046426812091836134,-0.6219383961715341,0.03534205422673452,-0.9923254114813544,0.11849564098056525,-0.6226666497544777,-0.114607280952607,-0.7740487158029425,-0.11896750772802535,0.1329588615168783,-0.0025322341000497614,-0.0024991558524666974,0.00912559071025891,0.008073412772784436
1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.012939259026380082,-0.05487164408562948,0.08263816413546532,-0.017529308491762804,-0.02014405611793025,-0.0013508930473970261
1,1,-0.5565169467301269,-4.953187166343482,6.99858879360126,0.40815172115530285,0.09463857943553716,-0.9079954360019588,0.36018490513498236,0.8972323795343227,0.2554229653497919,0.838855772246259,-0.43129757290947135,0.3321195522271032,0.01293925902638007,0.05487164408562966,-0.0826381641354656,-0.007768912170046757,-0.024422958313544886,-0.032202678875466094
2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.07650295868311557,-0.5033588684342418,-1.000848304967982,0.5170016739879838,-0.23380368860136183,-0.013239529593050275
2,1,-1.019166061148796,-3.100395773555571,-4.895851170118374,0.31832145080034935,-0.16182102748126978,-0.9340692742111085,0.6349915341699427,0.7680098529450698,0.08334636951778229,0.7038872107751806,-0.6196570187161592,0.34722899311972555,0.07650295868311553,0.5033588684342418,1.0008483049679824,0.12165407569176184,-0.41167983639405736,0.2890563551138642
3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04756505562047933,-0.1729875709394183,0.02463397525306544,-0.004383580051623572,-0.04549259921229369,0.0059827225481089265
3,1,2.25389393440383,-7.772679635906581,1.0863132631579553,-0.06289222962583163,-0.8048341801106963,0.5901580381374425,0.9435579779142457,0.14471997290879013,0.2979168873287631,-0.3251813490455311,0.5755849824020971,0.7503059497738946,-0.0475650556204793,0.17298757093941838,-0.02463397525306548,0.0008302749236625516,0.04164078259252793,-0.026170420213652887
4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.1054415825792316,-0.11459182209087267,0.37608413966300425,-0.5205460649060605,0.10042892717136769,0.006802613014441548
4,1,-1.3559034217065278,-3.993790527761366,4.940486840735016,0.10863948994631989,0.8344740935300536,0.5402318469429573,0.9888344711944368,-0.14647665537470078,0.027403977956853176,0.10199926373176424,0.5312227185065004,-0.8410698981301978,0.10544158257923163,0.11459182209087271,-0.37608413966300386,-0.41531582062552375,-0.11142790655171228,-0.2725387630789445
