sample_id,molecule_id,cx,cy,cz,R11,R12,R13,R21,R22,R23,R31,R32,R33,Fx,Fy,Fz,Mx,My,Mz
0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3788929108492472,-0.07989823489609178,0.6461114366593133,-0.3299304295931022,-0.24898545866295888,-0.007027576939030465
0,1,2.4256388933496495,-1.8666514776150145,5.367440269817991,-0.3566168141732575,-0.16203043759878688,0.920092704644734,0.928928736772151,-0.16646807573326816,0.33072614314649884,0.09957836033904072,0.9726430573716179,0.20988004454683062,-0.3788929108492473,0.07989823489609178,-0.6461114366593133,-0.44728543488230543,0.7154374961049188,0.5204843227596856
1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6481637320169973,1.0589011842197276,-0.4889899158801328,-0.7005175390285276,-0.4219025927023672,0.04090978885309704
1,1,-2.790777683043738,4.618519922797255,-1.145602123214314,0.40330587294667974,-0.8102905520676509,0.4251747806215913,0.6582130588446211,-0.06589648020561123,-0.7499421464772592,0.6356885574030131,0.5823116649410461,0.5067673853559075,0.6481637320169972,-1.058901184219728,0.48898991588013263,-0.3448126845945463,-0.20022180418015575,-0.0025104727669766347
2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.26644092130071473,-0.23994753126659016,-0.8181341094020639,0.26114681317159927,-0.8857110959898533,0.011518349918781284
2,1,-3.712885431584089,-1.4652100905439256,-4.384533657175807,0.359518621228643,-0.9145202504619601,0.18546986947978758,-0.780774587902376,-0.4036613609313018,-0.4769156619120034,0.5110160505069588,0.026649900301560475,-0.8591579476081137,0.2664409213007146,0.23994753126659013,0.8181341094020634,-0.11446648745213656,-0.9837079327991783,0.48898741684188113
3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.350652438189482,-0.060802067994548264,0.6781084090634091,-0.30699816752210785,-0.24057619865488072,0.011174970291974062
3,1,2.4460527060167054,-1.6607156922340973,5.489332259994466,0.6319252226346728,0.37602825445482146,0.6776970302795928,-0.7384550311027112,0.026682330250841324,0.6737746064460125,0.23527575318594376,-0.9262239497573171,0.29454119382310806,-0.3506524381894822,0.06080206799454811,-0.6781084090634091,-0.4853843551285429,0.5067350306918845,0.42243397337996896
4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6317836724310263,-0.12742726132250745,-0.7940304916666568,0.128450509659636,0.8719072251115185,-0.04115590923812576
4,1,4.9606234223459635,-0.8997123413684127,-3.577945682845503,0.7068889945496079,0.6998688408614296,0.10242829187252599,-0.7011913662135109,0.7124016782225105,-0.028539740948029538,-0.09294416244323557,-0.051647405133553884,0.9943308947280558,-0.6317836724310261,0.12742726132250734,0.7940304916666573,0.1300207035899928,0.8064913666401143,-0.022539180762450796
5,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.1395249048190088,-0.27932898858730987,1.0532843637555191,-0.19315201420194378,0.14785358919483885,-0.013843776702785186
5,1,-0.83725872467067,-1.5834778323532135,5.54269211780975,0.1507512253809864,-0.038302019119329844,-0.9878294505518214,-0.16088155453335715,-0.986878448627599,0.013713243427921754,-0.9753928405811995,0.15685624936790216,-0.15493522381038138,0.13952490481900875,0.2793289885873098,-1.0532843637555196,0.07353415634947225,-0.03932565625981092,0.026779815608852064
6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.16057926965851893,-0.09285079886647446,0.4997038026127744,0.2252676425863528,0.48142885844120753,-0.0032241306570319206
6,1,-3.018388500213979,0.7461602152204587,5.2864753601685885,0.7287358302602751,-0.6246840467409946,-0.2805600317974074,0.37793167661170424,0.7085340594049147,-0.5959422241095684,0.571061938416783,0.32825192826621397,0.7524220451855319,0.16057926965851915,0.09285079886647454,-0.4997038026127745,0.6384449146972649,0.17797300047475856,0.40330177659962485
7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.005496718554398761,-0.03730490520733379,-0.12155868888723075,-0.14553816661460234,-0.017592316517978476,2.0144322117818247e-05
7,1,-0.12475752214439094,1.2724439020767444,-6.862492285894059,0.9600551863770606,0.27415220750683955,0.0559875542387268,0.2763650290331219,-0.8977524282767424,-0.34302033212440086,-0.043776818500540965,0.3447914509414921,-0.9376579576368089,-0.005496718554398684,0.03730490520733374,0.12155868888723091,-0.26514307001573667,-0.03529423298000513,-0.002360342790596201
